dirty,base,optimal,others
midnightblue,blue,dark blue
dimgrey,gray,gray
chocolate,brown,chocolate brown
orangered,orange,orange red,red
lavender,purple,lavender,light purple
coral,red,red,light red
darkolivegreen,green,olive green,dark olive green
snow,white,white,snow
lightcoral,red,red,coral
brown,brown,brown
wheat,brown,wheat,light brown
cornflowerblue,blue,cornflower blue
crimson,red,crimson
black,black,black
peachpuff,yellow,yellow
purple,purple,purple
mediumslateblue,blue,blue,purple
lightgray,gray,light gray
lavenderblush,white,white
beige,beige,beige
mediumblue,blue,dark blue
slateblue,blue,purple
silver,silver,silver
white,white,white
teal,teal,teal
darkgrey,gray,dark gray
darkslategray,gray,dark gray
dimgray,gray,gray
darkturquoise,blue,cyan
linen,white,linen
khaki,brown,khaki
aliceblue,blue,light blue
lawngreen,green,green
green,green,green
palegreen,green,green
royalblue,blue,blue
burlywood,brown,brown
darkseagreen,green,dark green
darkmagenta,purple,magenta
honeydew,white,honeydew
darkorange,orange,dark orange
navy,blue,navy
lightgrey,gray,light gray
lemonchiffon,yellow,yellow
springgreen,green,green
chartreuse,green,green
antiquewhite,white,white
lightyellow,yellow,light yellow
cornsilk,yellow,yellow
lightseagreen,green,light green
lightblue,blue,light blue
yellowgreen,green,green,yellow
tomato,red,red
violet,violet,violet,purple
olivedrab,green,olive
goldenrod,yellow,yellow
mintcream,white,white
indigo,purple,indigo
papayawhip,yellow,yellow
limegreen,green,green
lightsalmon,red,salmon
slategrey,gray,gray
palegoldenrod,yellow,yellow
darkorchid,purple,purple
mediumvioletred,red,red
steelblue,blue,blue
mediumaquamarine,blue,aquamarine
mediumorchid,purple,purple
darkviolet,purple,violet
gold,gold,gold,yellow
darkred,red,dark red
darkblue,blue,dark blue
bisque,brown,brown
darksalmon,red,salmon
lightgoldenrodyellow,yellow,yellow
deeppink,pink,dark pink
seagreen,green,green
cadetblue,blue,blue
saddlebrown,brown,brown
maroon,red,maroon
hotpink,pink,pink
lightpink,pink,light pink
mediumspringgreen,green,green
forestgreen,green,green
oldlace,white,white
salmon,red,salmon
darkgreen,green,dark green
lime,green,lime
grey,gray,gray
rosybrown,brown,brown
azure,blue,azure
palevioletred,red,red
darkkhaki,brown,dark brown
orange,orange,orange
mistyrose,white,white,red
whitesmoke,white,white
mediumseagreen,green,green
fuchsia,purple,fuchsia
slategray,gray,gray
lightgreen,green,light green
ghostwhite,white,white
deepskyblue,blue,dark blue
seashell,white,white
navajowhite,white,white
tan,tan,tan
turquoise,blue,blue
mediumturquoise,blue,blue
darkgoldenrod,brown,brown
mediumpurple,purple,purple
darkslategrey,gray,dark gray
darkcyan,blue,dark blue
olive,green,olive
lightslategrey,gray,light gray
red,red,red
thistle,purple,light purple
indianred,red,red
blueviolet,purple,purple
greenyellow,green,green
lightslategray,gray,light gray
floralwhite,white,white
yellow,yellow,yellow
pink,pink,pink
skyblue,blue,sky blue
dodgerblue,blue,blue
lightcyan,blue,light blue
moccasin,brown,brown
darkgray,gray,dark gray
lightskyblue,blue,light blue
gray,gray,gray
firebrick,brown,brown
sienna,brown,dark brown
ivory,white,ivory
lightsteelblue,blue,light blue
sandybrown,brown,brown
blue,blue,blue
paleturquoise,blue,blue
aquamarine,blue,blue
magenta,red,magenta
blanchedalmond,brown,wheat,yellow
cyan,blue,blue,cyan
aqua,blue,blue,aqua
peru,brown,brown
orchid,purple,purple
gainsboro,gray,light gray
darkslateblue,blue,dark blue
powderblue,blue,light blue
plum,purple,light purple
